68719476874,IDENTIFIER,1,,this,58,src/app.service.ts::program:AppService;src/app.service.ts::program,8,this,,,1,,src/app.service.ts::program:AppService
68719476875,IDENTIFIER,1,,_tmp_2,13,,9,_tmp_2,,,1,,ANY
68719476876,IDENTIFIER,1,,AppService,33,,9,AppService,,,1,AppService,src/app.service.ts::program:AppService
68719476877,IDENTIFIER,2,,_tmp_2,11,,9,_tmp_2,,,2,,ANY
68719476878,IDENTIFIER,1,,Injectable,0,,1,Injectable,,,1,,@nestjs/common:Injectable
68719476879,IDENTIFIER,-1,,require,0,"(""@nestjs/common""):<member>(Injectable);(""@nestjs/common""):<member>(Logger)",1,require,,,1,,ANY
68719476880,IDENTIFIER,0,,this,0,src/app.service.ts::program,1,this,,,2,,src/app.service.ts::program
68719476881,IDENTIFIER,1,,Logger,0,,1,Logger,,,1,,@nestjs/common:Logger
68719476882,IDENTIFIER,-1,,require,0,"(""@nestjs/common""):<member>(Injectable);(""@nestjs/common""):<member>(Logger)",1,require,,,1,,ANY
68719476883,IDENTIFIER,0,,this,0,src/app.service.ts::program,1,this,,,2,,src/app.service.ts::program
68719476884,IDENTIFIER,1,,AppService,0,src/app.service.ts::program:AppService:<init>;src/app.service.ts::program:AppService,3,AppService,,,1,,ANY
68719476885,IDENTIFIER,1,,exports,0,,3,exports,,,1,,ANY
68719476886,IDENTIFIER,2,,AppService,0,,3,AppService,,,2,,src/app.service.ts::program:AppService
68719476887,IDENTIFIER,1,,logger,19,,12,logger,,,1,ANY,@nestjs/common:Logger
68719476888,IDENTIFIER,1,,_tmp_0,28,,12,_tmp_0,,,1,,@nestjs/common:Logger
68719476889,IDENTIFIER,-1,,Logger,32,,12,Logger,,,1,ANY,@nestjs/common:Logger
68719476890,IDENTIFIER,0,,_tmp_0,28,,12,_tmp_0,,,2,,@nestjs/common:Logger
68719476891,IDENTIFIER,1,,RoleAliasesController,39,,12,RoleAliasesController,,,1,RoleAliasesController,src/context/role-aliases/role-aliases.controller.ts::program:RoleAliasesController
68719476892,IDENTIFIER,3,,_tmp_0,28,,12,_tmp_0,,,3,,@nestjs/common:Logger
